0;	10000;
240;	5633;
241;	5633;
242;	5633;
243;	5633;
244;	5633;
245;	5633;
246;	5633;
247;	5633;
248;	5633;
249;	5633;
250;	5633;
251;	5633;
252;	5633;
253;	5633;
254;	5633;
255;	5633;
256;	5633;
257;	5633;
258;	5633;
259;	5633;
260;	5633;
261;	5633;
262;	5633;
263;	5633;
264;	5633;
265;	5633;
266;	5633;
267;	5633;
268;	5633;
269;	5633;
270;	5633;
271;	5633;
272;	5633;
273;	5633;
274;	5633;
275;	5633;
276;	5633;
277;	5633;
278;	5633;
279;	5633;
280;	5633;
281;	5633;
282;	5633;
283;	5633;
284;	5633;
285;	5633;
286;	5633;
287;	5633;
288;	5633;
289;	5633;
290;	5633;
291;	5633;
292;	5633;
293;	5633;
294;	5633;
295;	5633;
296;	5633;
297;	5633;
298;	5633;
299;	5633;
300;	5633;
301;	5633;
302;	5633;
303;	5633;
304;	5633;
305;	5633;
306;	5633;
307;	5633;
308;	5633;
309;	5633;
310;	5633;
311;	5633;
312;	5633;
313;	5633;
314;	5633;
315;	5633;
316;	5633;
317;	5633;
317;	5631;
318;	5631;
319;	5631;
320;	5631;
321;	5631;
322;	5631;
323;	5631;
324;	5631;
325;	5631;
326;	5631;
327;	5631;
328;	5631;
329;	5631;
330;	5631;
331;	5631;
332;	5631;
333;	5631;
334;	5631;
335;	5631;
336;	5631;
337;	5631;
338;	5631;
339;	5631;
340;	5631;
341;	5631;
342;	5631;
343;	5631;
344;	5631;
345;	5631;
346;	5631;
347;	5631;
348;	5631;
349;	5631;
350;	5631;
351;	5631;
352;	5631;
353;	5631;
354;	5631;
355;	5631;
356;	5631;
357;	5631;
358;	5631;
359;	5631;
360;	5631;
361;	5631;
362;	5631;
363;	5631;
364;	5631;
365;	5631;
366;	5631;
367;	5631;
368;	5631;
369;	5631;
370;	5631;
371;	5631;
372;	5631;
373;	5631;
374;	5631;
375;	5631;
376;	5631;
377;	5631;
378;	5631;
379;	5631;
380;	5631;
381;	5631;
382;	5631;
383;	5631;
384;	5631;
385;	5631;
386;	5631;
387;	5631;
388;	5631;
389;	5631;
390;	5631;
391;	5631;
392;	5631;
393;	5631;
394;	5631;
395;	5631;
396;	5631;
397;	5631;
398;	5631;
399;	5631;
400;	5631;
401;	5631;
402;	5631;
403;	5631;
404;	5631;
405;	5631;
406;	5631;
407;	5631;
408;	5631;
409;	5631;
410;	5631;
411;	5631;
412;	5631;
413;	5631;
414;	5631;
415;	5631;
416;	5631;
417;	5631;
418;	5631;
419;	5631;
420;	5631;
421;	5631;
422;	5631;
423;	5631;
424;	5631;
425;	5631;
426;	5631;
427;	5631;
428;	5631;
429;	5631;
430;	5631;
431;	5631;
432;	5631;
433;	5631;
434;	5631;
435;	5631;
436;	5631;
437;	5631;
438;	5631;
439;	5631;
440;	5631;
441;	5631;
442;	5631;
443;	5631;
444;	5631;
445;	5631;
446;	5631;
447;	5631;
448;	5631;
449;	5631;
450;	5631;
451;	5631;
452;	5631;
453;	5631;
454;	5631;
455;	5631;
456;	5631;
457;	5631;
458;	5631;
459;	5631;
460;	5631;
461;	5631;
462;	5631;
463;	5631;
464;	5631;
465;	5631;
466;	5631;
467;	5631;
468;	5631;
469;	5631;
470;	5631;
471;	5631;
472;	5631;
473;	5631;
474;	5631;
475;	5631;
476;	5631;
477;	5631;
478;	5631;
479;	5631;
480;	5631;
481;	5631;
482;	5631;
483;	5631;
484;	5631;
485;	5631;
486;	5631;
487;	5631;
488;	5631;
489;	5631;
490;	5631;
491;	5631;
492;	5631;
493;	5631;
494;	5631;
495;	5631;
496;	5631;
497;	5631;
498;	5631;
499;	5631;
500;	5631;
